name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
Harman International Industries,Industrials,Non Ai,5349,6155,6912,6912,6912,6912,6912,6912,7257.6,14202,24197,26000,26000,26000,26000,26000,26000,26000
Harris,Technology,Ai,7527,7527,7527,7527,7527,7527,7527,7527,7527,21000,21000,21420,22041,22481,22818,23000,23253,23369
Harris,Aerospace & Defense,Ai,6939,6939,6939,6939,6939,6939,6939,6939,6939,0,0,0,0,0,0,0,0,0
Hartford Financial Services,Financials,Non Ai,19228,19228,19228,19228,19827,19827,19827,19827,20818.35,16400,16400,16400,16400,18500,18500,18500,18500,18500
Hartford Financial Services Group,Financials,Non Ai,18847,18377,18300,18300,18300,20740,21565,22390,23509.5,17500,17400,16900,16900,16900,19500,18800,18500,18800
Harvey,Specialized AI,Ai,0,0,0,0,0,0,0,7.07,7.77,0,0,0,0,0,0,0,0,0
Hasbro,Household Products,Non Ai,5465,5465,5465,5465,5465,5465,5942.5,6420,6741,6822,6822,6822,6822,6822,6822,6731,6731,6640
HCA Healthcare,Health Care,Non Ai,47653,47653,47653,47653,46677,51336,55044,58752,61689.6,221491,221491,221491,221491,229000,245000,244500,243750,250500
HCA Holdings,Health Care,Non Ai,40087,43591,44747,44747,44747,44747,44747,44747,46984.35,197000,203500,210500,210500,210500,210500,210500,210500,210500
HD Supply Holdings,Wholesalers,Non Ai,9167,8779,8779,6534,6047,6146,6146,6146,6453.3,15000,14000,14000,,11500,11500,11500,11500,11500
Health Net,Health Care,Non Ai,14009,16244,16244,16244,16244,16244,16244,16244,17056.2,7968,8584,8584,8584,8584,8584,8584,8584,8584
Hebbia,Enterprise Search,Ai,0,0,0,0,0,1.2,1.32,1.45,1.6,0,0,0,0,0,0,0,0,0
Henry Schein,Wholesalers,Non Ai,10371,10371,11572,12462,12462,12462,12462,12462,13085.1,17500,17500,21000,22000,22000,22000,22000,22000,22000
Henry Schein,Health Care,Non Ai,10630,10630,10630,10630,13202,10305,11353,12401,13021.05,19000,19000,19000,19000,22600,19000,20300,21400,22000
