name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
Publix Super Markets,Food & Drug Stores,Non Ai,30803,32619,34274,34837,36396,38463,43428.5,48394,50813.7,175000,180000,,193000,202000,207000,219500,223250,242000
PulteGroup,Engineering & Construction,Non Ai,5822,5982,7669,8573,10188,10213,12070,13927,14623.35,4149,4542,4623,4810,5086,5245,5713.5,5844.75,6524
PVH,Apparel,Non Ai,8241,8020,8203,8915,9657,9909,9532,9155,9612.75,25850,26200,26650,,,30750,27875,26916.6666666667,25000
Qualcomm,Technology,Ai,26487,27499.17,28713.78,30130.82,31750.29,33572.2,36406.28,39948.88,44200,31300,33000,33660,34636,35328,35857,36143,36540,36722
Quanta Services,Engineering & Construction,Non Ai,7851,7632,7651,9467,11171,12112,12546,12980,13629,24600,24500,28100,32800,39200,40300,42000,43525,47300
Quest Diagnostics,Health Care,Non Ai,7435,7435,7515,7709,7531,7726,9257,10788,11327.4,,44000,43000,45000,46000,47000,45750,45500,44500
Quintiles IMS Holdings,Health Care,Non Ai,5738,5738,6878,6878,6878,6878,6878,6878,7221.9,36100,36100,50000,50000,50000,50000,50000,50000,50000
Quintiles Transnational Holdings,Health Care,Non Ai,5460,5460,5460,5460,5460,5460,5460,5460,5733,32600,,32600,32600,32600,32600,32600,32600,32600
Qurate Retail,Retailing,Non Ai,10404,10404,10404,10404,14070,13458,13751,14044,14746.2,28255,28255,28255,28255,27226,25314,26029.5,25476.5,24683
R.R. Donnelley & Sons,Media,Non Ai,11603,11257,6896,6896,6800,6276,5837.5,5399,5668.95,68000,,44360,42700,39500,36400,34700,35475,33000
Ralph Lauren,Apparel,Non Ai,7450,7620,7405,6653,6182,6313,6236.5,6160,6468,18500,20000,20500,,18150,18650,18975,18850,19300
Raymond James Financial,Financials,Non Ai,5308,5308,5520,6525,7476,8023,8966.5,9910,10405.5,11000,11000,11900,12700,13900,14200,14600,15525,17000
Raytheon,Aerospace & Defense,Non Ai,22826,23247,24069,25348,27058,29176,29176,29176,30634.8,61000,61000,63000,64000,67000,70000,70000,69250,70000
Raytheon Technologies,Aerospace & Defense,Non Ai,77046,77046,77046,77046,77046,77046,70717,64388,67607.4,243200,243200,243200,243200,243200,243200,208600,212600,182000
Realogy Holdings,Financials,Non Ai,5328,5706,5810,6114,6079,6079,6079,6079,6382.95,10700,11400,11800,11800,11400,11400,11400,11400,11400
Regeneron Pharmaceuticals,Health Care,Non Ai,5872,5872,5872,5872,6711,7863,11967.5,16072,16875.6,6200,6200,6200,6200,7400,8100,9234,9800.5,11851
Regions Financial,Financials,Non Ai,5428,5674,5967,6093,6762,6755,6680,6605,6935.25,23723,23916,22166,21714,19969,19564,19595,19919.75,20073
Reinsurance Group of America,Financials,Non Ai,10904,10418,11522,12516,12876,14300,15479,16658,17490.9,2070,2201,2371,2640,2767,3188,3344,3388.75,3800
Reliance Steel & Aluminum,Materials,Non Ai,10452,9351,8613,9721,11535,10974,12533.5,14093,14797.65,14900,13400,14500,14900,15600,15300,14625,15100,14750
Replicate,AI Software/Tools,Ai,0,0,0,0,2,2.2,2.42,2.66,2.93,0,0,0,0,0,0,0,0,0
Republic Services,Business Services,Non Ai,8788,9115,9388,10042,10041,10299,10797,11295,11859.75,31000,33000,,35000,36000,36000,35500,38000,40000
Reynolds American,"Food, Beverages & Tobacco",Non Ai,8471,10675,12503,12503,12503,12503,12503,12503,13128.15,5350,5650,5525,5525,5525,5525,5525,5525,5525
Rite Aid,Food & Drug Stores,Non Ai,25526,26528,30737,32845,30215,21674,22858.5,24043,25245.15,69420,69865,70580,70430,48410,42645,42645,49263.75,53000
Robert Half International,Business Services,Non Ai,5250,5250,5250,5250,5800,6074,6267.5,6461,6784.05,16400,16400,16400,16400,18900,16000,15300,16875,16300
Rocket Companies,Financials,Non Ai,15981,15981,15981,15981,15981,15981,14578.5,13176,13834.8,24000,24000,24000,24000,24000,24000,25000,25000,26000
Rockwell Automation,Industrials,Non Ai,6624,6308,5880,6311,6666,6695,6846,6997,7346.85,22500,22500,22000,22000,23000,23000,23750,24500,26000
Rockwell Collins,Aerospace & Defense,Non Ai,5262,5262,5259,6822,8665,8665,8665,8665,9098.25,19500,19500,19000,,,31200,31200,31200,31200
Roper Technologies,Technology,Ai,5527,5577.8,5638.76,5709.88,5791.16,5882.6,6024.84,6202.64,6416,18400,18400,18768,19312,19698,19993,20152,20373,20474
Rosebud AI,Generative Media,Ai,0,0,0,0,0.33,0.36,0.39,0.43,0.47,0,0,0,0,0,0,0,0,0
Ross Stores,Retailing,Non Ai,11042,11940,12867,14135,14984,16039,17477.5,18916,19861.8,71400,77800,78600,82700,88100,92500,92500,95650,101000
RPM International,Chemicals,Non Ai,5507,5507,5507,5507,5507,5507,5507,5507,5782.35,14621,14621,14621,14621,14621,14621,14621,14621,14621
Runway,Generative Media,Ai,0,0,0,6.77,7.44,8.18,9,9.9,10.89,0,0,0,0,0,0,0,0,0
Rush Enterprises,Retailing,Non Ai,5810,5810,5810,5810,5810,5810,5810,5810,6100.5,7244,7244,,,7244,7244,7244,7244,7244
Ryder System,Transportation,Non Ai,6639,6572,6787,7330,8409,8926,9294.5,9663,10146.15,30600,33100,34500,36100,39600,39900,41350,44025,48300
S&P Global,Business Services,Non Ai,5313,5313,5661,6063,6258,6699,7498,8297,8711.85,20400,20400,20000,20400,21200,22500,22675,30900,39950
Safeway,Food & Drug Stores,Non Ai,36643,36643,36643,36643,36643,36643,36643,36643,38475.15,137000,137000,137000,137000,137000,137000,137000,137000,137000
Salesforce,Technology,Ai,17098,17912.51,18889.93,20030.25,21333.47,22799.6,25080.24,27931.04,31352,49000,49000,49980,51429,52457,53243,53668,54258,54529
salesforce.com,Technology,Ai,5374,5825.89,6368.15,7000.79,7723.81,8537.2,9802.48,11384.08,13282,16200,19742,20136,20719,21133,21449,21620,21857,21966
Sana,Enterprise Search,Ai,0,1.82,2,2.2,2.42,2.66,2.93,3.22,3.54,0,73,74,76,77,78,78,78,78
SanDisk,Technology,Ai,6628,6665.87,6711.32,6764.35,6824.95,6893.12,6999.17,7131.73,7290.8,8696,8790,8965,9224,9408,9549,9625,9730,9778
Sanmina,Technology,Ai,6215,6310.77,6425.7,6559.78,6713.01,6885.4,7153.56,7488.76,7891,38417,38910,39688,40838,41654,42278,42616,43084,43299
Scale AI,Specialized AI,Ai,0,13.33,14.66,16.12,17.73,19.5,21.45,23.59,25.95,0,533,543,558,569,577,581,587,589
Science Applications International,Technology,Ai,6379,6454.71,6545.57,6651.57,6772.71,6909,7121,7386,7704,24311,24311,24797,25516,26026,26416,26627,26919,27053
Seaboard,"Food, Beverages & Tobacco",Non Ai,6473,5594,5379,5809,6583,6840,8034.5,9229,9690.45,10778,10772,11781,11800,12600,13100,13150,12732,12614
Sealed Air,Materials,Non Ai,7751,7032,6778,6131,6131,6131,6131,6131,6437.55,24000,23000,23000,15000,15000,15000,15000,15000,15000
Sears Holdings,Retailing,Non Ai,31198,25146,22138,16702,16702,16702,16702,16702,17537.1,196000,178000,,89000,89000,89000,89000,89000,89000
Securian Financial Group,Financials,Non Ai,6067,6067,6067,6067,6067,6601,6959,7317,7682.85,5000,5000,5000,5000,5000,6400,6670.5,6320.5,6941
Select Medical Holdings,Health Care,Non Ai,5532,5532,5532,5532,5532,5532,5532,5532,5808.6,42350,42350,42350,42350,42350,42350,42350,42350,42350
Sempra,Energy,Non Ai,12443,12443,12443,12443,12443,12443,12650,12857,13499.85,13969,13969,13969,13969,13969,13969,14679.5,14877,15785
Sempra Energy,Energy,Non Ai,11035,10231,10183,11207,11687,11687,11687,11687,12271.35,17046,17387,16575,16046,16823,16823,16823,16823,16823
ServiceNow,Technology,Ai,7245,7245,7245,7245,7245,7245,7245,7245,7245,20433,20433,20841,21445,21873,22201,22378,22624,22737
Sherwin-Williams,Chemicals,Non Ai,11130,11339,11856,14984,17535,17901,18923,19945,20942.25,39674,40706,42550,52695,53368,61111,61368.5,60802.75,64366
Sierra,Enterprise AI/SaaS,Ai,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Simon Property Group,Financials,Non Ai,5266,5266,5435,5539,5658,5755,5755,5755,6042.75,4075,4075,4050,4150,4150,3750,3750,3850,3750
Sinclair Broadcast Group,Media,Non Ai,5943,5943,5943,5943,5943,5943,5943,5943,6240.15,,11600,11600,11600,11600,11600,11600,11600,11600
Sonic Automotive,Retailing,Non Ai,9197,9624,9732,9867,9952,10454,11425,12396,13015.8,9300,9800,9800,9750,9700,9300,9750,9900,10300
Sonoco Products,Materials,Non Ai,7251,7251,7251,7251,7251,7251,7251,7251,7613.55,22000,22000,22000,22000,22000,22000,22000,22000,22000
Southern,Energy,Non Ai,18467,17489,19896,23031,23495,21419,22266,23113,24268.65,26369,26703,32015,31344,30286,27943,27553.5,28338.25,27562
Southwest Airlines,Transportation,Non Ai,18605,19820,20425,21171,21965,22428,19109,15790,16579.5,46278,49583,53536,56110,58803,60767,57930,63220.5,66656
Southwestern Energy,Energy,Non Ai,6667,6667,6667,6667,6667,6667,6667,6667,7000.35,938,938,938,,938,938,938,1028,1118
SpartanNash,Wholesalers,Non Ai,7916,7652,7735,8128,8065,8536,8733.5,8931,9377.55,12300,11850,11500,11950,11400,13800,13550,13300,14000
Spectra Energy,Energy,Non Ai,5903,5234,5234,5234,5234,5234,5234,5234,5495.7,5900,6250,6250,6250,6250,6250,6250,6250,6250
Spectrum Brands Holdings,Household Products,Non Ai,6650,6650,6650,6650,6650,6650,6650,6650,6982.5,17113,,17113,17113,17113,17113,17113,17113,17113
Spirit AeroSystems Holdings,Aerospace & Defense,Non Ai,6799,6644,6793,6983,7222,7863,7863,7863,8256.15,15250,15200,14400,15500,17000,18200,18200,17900,18200
Sprouts Farmers Market,Food & Drug Stores,Non Ai,6469,6469,6469,6469,6469,6469,6469,6469,6792.45,33000,33000,33000,33000,33000,33000,33000,33000,33000
St. Jude Medical,Health Care,Non Ai,5622,5541,6004,6004,6004,6004,6004,6004,6304.2,,18000,18000,18000,18000,18000,18000,18000,18000
Stanley Black & Decker,Household Products,Non Ai,11457,11211,11407,12747,13982,14442,15847.5,17253,18115.65,50400,51250,54023,57765,60767,59438,65369,57151.25,54200
Staples,Retailing,Non Ai,22492,21059,20217,20217,20217,20217,20217,20217,21227.85,61738,58963,61503,61503,61503,61503,61503,61503,61503
Starbucks,"Hotels, Restaurants & Leisure",Non Ai,16448,19163,21316,22387,24720,26509,27785,29061,30514.05,191000,238000,254000,277000,291000,346000,364500,360250,402000
Starwood Hotels & Resorts,"Hotels, Restaurants & Leisure",Non Ai,5983,5763,5763,5763,5763,5763,5763,5763,6051.15,180400,188000,188000,188000,188000,188000,188000,188000,188000
State Farm Insurance,Financials,Non Ai,81732,81732,81732,81732,81732,79395,80810,82225,86336.25,56788,56788,56788,56788,56788,57672,57672,58874.5,60519
State Farm Insurance Cos.,Financials,Non Ai,71160,75697,76132,78331,78331,78331,78331,78331,82247.55,73262,70425,68234,,65664,65664,65664,65664,65664
State Street Corp.,Financials,Non Ai,10687,10760,10635,11774,12973,12973,12973,12973,13621.65,29970,32356,33783,36643,40142,40142,40142,40142,40142
Steel Dynamics,Materials,Non Ai,8756,7594,7777,9539,11822,10465,14437,18409,19329.45,7780,7500,7695,7635,8200,8385,9512.5,10176.25,12060
StoneX Group,Financials,Non Ai,32897,32897,32897,32897,32897,32897,37715.5,42534,44660.7,2012,2012,2012,2012,2012,2012,2627,2813.5,3615
Stryker,Health Care,Non Ai,9675,9946,11325,12444,13601,14884,15996,17108,17963.4,26000,27000,33000,33000,36000,40000,43000,44500,51000
SunTrust Banks,Financials,Non Ai,8707,8533,9161,9741,10431,10431,10431,10431,10952.55,24638,24043,24375,23785,22899,22899,22899,22899,22899
Supervalu,Food & Drug Stores,Non Ai,18390,17820,17529,16009,15679,15679,15679,15679,16462.95,35800,38500,38000,29000,23000,23000,23000,23000,23000
SVB Financial Group,Financials,Non Ai,7401,7401,7401,7401,7401,7401,7401,7401,7771.05,8553,8553,8553,8553,8553,8553,8553,8553,8553
Symantec,Technology,Ai,6676,6714.15,6759.93,6813.33,6874.37,6943.04,7049.86,7183.38,7343.6,20800,19000,19380,19942,20340,20645,20810,21038,21143
Synchrony Financial,Financials,Non Ai,15122,15122,15122,16695,18253,19461,17606.5,15752,16539.6,15000,15000,15000,16000,16500,16500,17250,17500,18500
Synnex,Wholesalers,Non Ai,13840,13338,14062,17046,20054,20054,20054,20054,21056.7,64000,78500,110000,113600,231600,231600,231600,231600,231600
Synthesia,Generative Media,Ai,0,0,3.93,4.32,4.75,5.22,5.74,6.31,6.94,0,0,0,0,0,0,0,0,0
Sysco,Wholesalers,Non Ai,48681,48681,50367,55371,58727,60114,55706,51298,53862.9,50300,51700,51900,66500,67000,69000,63355,69255,70510
T. Rowe Price,Financials,Non Ai,35177,35177,37101,36021,41048,40450,40486,40522,42548.1,7678,7678,7678,7678,7678,7678,7603.5,7603.5,7529
Tapestry,Apparel,Non Ai,5880,5880,5880,5880,5880,6027,6027,6027,6328.35,16900,16900,16900,16900,16900,17400,17400,17275,17400
Targa Resources,Energy,Non Ai,8617,6659,6691,8815,10484,8671,12810.5,16950,17797.5,1350,1870,1970,2130,2460,2680,2555,2710,2850
Target,Retailing,Non Ai,74520,73785,69495,71879,75356,78112,92058.5,106005,111305.25,347000,341000,323000,345000,360000,368000,409000,402000,440000
Taylor Morrison Home,Engineering & Construction,Non Ai,6129,6129,6129,6129,6129,6129,6815,7501,7876.05,2700,2700,2700,2700,2700,2700,2850,2850,3000
TD Ameritrade Holding,Financials,Non Ai,35178,35178,37102,36022,41049,40451,40487,40523,42549.15,9226,9226,9226,9226,9226,9226,9226,9226,9226
TD Synnex,Wholesalers,Non Ai,35179,35179,37103,36023,41050,40452,40488,40524,42550.2,240900,240900,240900,,240900,240900,133950,134700,28500
Tech Data,Wholesalers,Non Ai,27671,26380,26235,36775,37239,36998,36998,36998,38847.9,8900,9000,9500,14000,14000,15000,15000,14750,15000
TEGNA,Media,Non Ai,35180,35180,37104,36024,41051,40453,40489,40525,42551.25,31250,31250,31250,31250,31250,31250,31250,31250,31250
Telephone & Data Systems,Telecommunications,Non Ai,5176,5176,5176,5176,5176,5176,5176,5176,5434.8,10400,10400,10400,10400,10400,10400,10400,10400,10400
Tenet Healthcare,Health Care,Non Ai,17924,20111,21070,20613,18313,18479,18982,19485,20459.25,96456,119148,116475,111980,102795,101104,95036,95518.75,89088
Tenneco,Motor Vehicles & Parts,Non Ai,8420,8209,8599,9274,11763,17450,17742.5,18035,18936.75,29000,30000,31000,32000,81000,78000,74500,75250,71000
Terex,Industrials,Non Ai,7404,6543,5841,5841,5841,5841,5841,5841,6133.05,,20400,,18100,18100,18100,18100,18100,18100
Tesla,Motor Vehicles & Parts,Non Ai,7000,7000,7000,11759,11759,24578,39200.5,53823,56514.15,30025,30025,30025,37543,48817,48016,73653,88135.75,127855
Tesoro,Energy,Non Ai,40052,28150,28150,28150,28150,28150,28150,28150,29557.5,5641,6016,6016,6016,6016,6016,6016,6016,6016
Texas Instruments,Technology,Non Ai,13045,13000,13370,14961,15784,14383,16363.5,18344,19261.2,31003,29977,29865,29714,29888,29768,30384,31414,33000
Textron,Aerospace & Defense,Non Ai,13878,13423,13788,14198,13972,13630,13006,12382,13001.1,34000,35000,36000,37000,35000,35000,34000,34500,34000
Thermo Fisher Scientific,Technology,Ai,17100,18689.43,20596.74,22821.94,25365.03,28226,32676.4,38239.4,44915,51000,52400,53448,54997,56096,56937,57392,58023,58313
Thor Industries,Motor Vehicles & Parts,Non Ai,7247,7247,7247,7247,8329,7865,10091,12317,12932.85,17800,17800,17800,17800,17500,21750,26375,25812.5,32000
Thrivent Financial for Lutherans,Financials,Non Ai,8521,8789,8777,8528,8635,8612,9462.5,10313,10828.65,3062,3104,3282,3622,3708,3235,3245.5,3581.75,3692
TIAA,Financials,Non Ai,35181,35181,37105,36025,41052,40454,40490,40526,42552.3,12735,12735,12997,16829,17643,16533,15799,16579,16070
TIAA-CREF,Financials,Non Ai,34230,34230,34230,34230,34230,34230,34230,34230,35941.5,12322,12322,12322,12322,12322,12322,12322,12322,12322
Time Warner,Media,Non Ai,28774,28118,29318,31271,31271,31271,31271,31271,32834.55,25600,24800,25000,26000,26000,26000,26000,26000,26000
Time Warner Cable,Telecommunications,Non Ai,22812,23697,23697,23697,23697,23697,23697,23697,24881.85,54615,56430,56430,56430,56430,56430,56430,56430,56430
TJX,Retailing,Non Ai,29078,30945,33184,35865,38973,41717,45133.5,48550,50977.5,198000,216000,235000,249000,270000,286000,313000,303500,329000
Together AI,AI Software/Tools,Ai,0,0,0,0,0,0,0,15.27,16.8,0,0,0,0,0,0,0,0,0
Toll Brothers,Engineering & Construction,Non Ai,5170,5170,5170,5815,7143,7224,8007,8790,9229.5,4200,4200,4200,4500,4900,5100,5100,5100,5200
Tome,Productivity Software,Ai,0,0,0,0,0,3.24,3.56,3.91,4.3,0,0,0,0,0,0,0,0,0
"Toys ""R"" Us",Retailing,Non Ai,12361,12361,11540,11146,11146,11146,11146,11146,11703.3,,62000,64000,65000,65000,65000,65000,65000,65000
Tractian,Specialized AI,Ai,0,0,0,0,2.17,2.38,2.61,2.87,3.16,0,0,0,0,0,0,0,0,0
Tractor Supply,Retailing,Non Ai,5712,6227,6780,7256,7911,8352,10541.5,12731,13367.55,16050,17500,19500,21000,22000,24000,29000,29750,36500
TravelCenters of America,Retailing,Non Ai,7779,5851,5511,6052,6974,6117,6727,7337,7703.85,16330,18450,20259,19611,18277,18594,17567,17815.25,17195
Travelers,Financials,Non Ai,30282,30282,30282,30282,30282,31581,33198.5,34816,36556.8,30400,30400,30400,30400,30400,30800,30800,31387.5,32175
Travelers Cos.,Financials,Non Ai,27162,26800,27625,28902,28902,28902,28902,28902,30347.1,30200,30900,30900,30800,30800,30800,30800,30800,30800
TreeHouse Foods,"Food, Beverages & Tobacco",Non Ai,6175,6175,6175,6307,5812,5812,5812,5812,6102.6,16027,16027,16027,13489,12700,12700,12700,12700,12700
Trinity Industries,Transportation,Non Ai,6170,6393,6393,6393,6393,6393,6393,6393,6712.65,22070,22030,22030,22030,22030,22030,22030,22030,22030
Truist Financial,Financials,Non Ai,14664,14664,14664,14664,14664,14664,18864,23064,24217.2,59000,59000,59000,,59000,59000,55231,56493.5,53987
TRW Automotive Holdings,Motor Vehicles & Parts,Non Ai,17539,17539,17539,17539,17539,17539,17539,17539,18415.95,72900,,72900,72900,72900,72900,72900,72900,72900
Twenty-First Century Fox,Media,Non Ai,31867,28987,27326,28500,30400,30400,30400,30400,31920,27000,20500,21500,21700,22400,22400,22400,22400,22400
Tyson Foods,"Food, Beverages & Tobacco",Non Ai,37580,41373,36881,38260,40052,42405,44727,47049,49401.45,124000,113000,114000,122000,121000,141000,139000,136500,142000
U.S. Bancorp,Financials,Non Ai,21392,21494,22744,23996,25775,27325,25519.5,23714,24899.7,66750,65433,71191,72402,75772,69651,69223.5,74678.75,76646
Uber Technologies,Technology,Ai,14147,15160.14,16375.91,17794.31,19415.34,21239,24075.8,27621.8,31877,26900,26900,27438,28233,28797,29228,29461,29785,29933
UFP Industries,Materials,Non Ai,8276,6690,5685,6120,7650,7319,7382.5,7446,7818.3,15000,15000,,15000,15000,15000,15000,15250,15500
UGI,Energy,Non Ai,8277,6691,5686,6121,7651,7320,7383.5,7447,7819.35,12800,,,13000,13000,12800,12050,11450,10000
Ulta Beauty,Retailing,Non Ai,5885,5885,5885,5885,6717,7398,8014.5,8631,9062.55,24200,24200,24200,,30000,31000,29750,33125,35750
Union Pacific,Transportation,Non Ai,23988,21813,19941,21240,22832,21708,21756,21804,22894.2,47201,47457,,41992,41967,37483,34803.5,36452,33179
United Airlines Holdings,Transportation,Non Ai,43259,43259,43259,43259,43259,43259,33946.5,24634,25865.7,96000,96000,96000,96000,96000,96000,90050,94397.5,92795
United Continental Holdings,Transportation,Non Ai,38901,37864,36556,37736,41303,41303,41303,41303,43368.15,84000,84000,88000,89800,92000,92000,92000,92000,92000
United Natural Foods,Wholesalers,Non Ai,8185,8185,8470,9275,10227,23481,25236.5,26992,28341.6,8700,8700,9554,9700,10000,19000,23650,22400,30300
United Parcel Service,Transportation,Non Ai,8186,8186,8471,9276,10228,23482,25237.5,26993,28342.65,364575,364575,364575,364575,364575,364575,364575,364575,364575
United Rentals,Business Services,Non Ai,5685,5817,5762,6641,8047,9351,9533.5,9716,10201.8,12500,12700,12500,14800,18500,19100,19750,21700,24600
United States Steel,Materials,Non Ai,17507,11574,10261,12250,14178,12937,11339,9741,10228.05,35500,33200,29800,29200,29000,27500,27500,25495,22740
United Technologies,Aerospace & Defense,Non Ai,65100,61047,57244,59837,66501,66501,66501,66501,69826.05,211500,197200,201600,204700,240200,240200,240200,240200,240200
UnitedHealth Group,Health Care,Non Ai,130474,157107,184840,201159,226247,242155,264876,287597,301976.85,170000,200000,230000,260000,300000,325000,337500,356250,400000
Univar,Wholesalers,Non Ai,8982,8982,8074,8254,8633,8633,8633,8633,9064.65,9200,9200,8700,8600,8500,8500,8500,8500,8500
Univar Solutions,Wholesalers,Non Ai,9444,9444,9444,9444,9444,9444,9490,9536,10012.8,10300,10300,10300,10300,10300,10300,9875,10023,9746
Universal Health Services,Health Care,Non Ai,8764,9785,10508,11279,10772,11378,12010,12642,13274.1,58700,64500,70863,72300,75650,79050,78950,79925,82500
Unstructured,AI Software/Tools,Ai,0,0,0,0,0,0,0,4.33,4.76,0,0,0,0,0,0,0,0,0
Unum Group,Financials,Non Ai,10510,10731,11047,11287,11599,11999,12580.5,13162,13820.1,9500,9400,9400,9400,9600,10300,10250,10375.5,10801
UPS,Transportation,Non Ai,58232,58363,60906,65872,65872,74094,85690.5,97287,102151.35,336150,341240,335520,346415,346415,377640,389292.5,383363.75,404700
US Foods,Wholesalers,Non Ai,23020,23020,23020,23020,23020,23020,23020,23020,24171,25000,25000,25000,25000,25000,25000,25000,25000,25000
US Foods Holding,Wholesalers,Non Ai,23128,23128,22919,24147,24175,25939,27713,29487,30961.35,25000,25000,25000,25204,24900,28000,28000,27725,29000
USAA,Financials,Non Ai,24033,24361,27131,30016,31368,35617,36543.5,37470,39343.5,27635,28681,29943,32705,33689,35076,36205.5,35601.25,36820
Valero Energy,Energy,Non Ai,130844,81824,70166,88407,111407,102729,105530.5,108332,113748.6,10065,10103,9996,,10261,10222,10013,9992.25,9743
Vannevar Labs,Defense Tech,Ai,0,0,0,0,2.9,3.19,3.5,3.85,4.23,0,0,0,0,0,0,0,0,0
Veritiv,Wholesalers,Non Ai,8718,8718,8327,8365,8696,7659,7255,6851,7193.55,8800,8800,8700,8900,8700,8000,7050,7225,6100
Verizon,Telecommunications,Non Ai,127079,131620,131620,126034,126034,126034,126034,126034,132335.7,177300,177700,177700,155400,155400,155400,155400,155400,155400
Verizon Communications,Telecommunications,Non Ai,125980,125980,125980,125980,130863,131868,132740.5,133613,140293.65,160900,160900,160900,160900,144500,135000,126700,128425,117100
Vertex Pharmaceuticals,Health Care,Non Ai,6206,6206,6206,6206,6206,6206,6890,7574,7952.7,3400,3400,3400,3400,3400,3400,3650,4100,4800
VF,Apparel,Non Ai,12282,12377,12207,12400,12862,13871,11555,9239,9700.95,59697,64000,69000,69000,69000,75000,54300,49825,27650
Viacom,Media,Non Ai,13783,13268,12488,13263,12943,12943,12943,12943,13590.15,10140,9445,9650,11200,10880,10880,10880,10880,10880
Viatris,Health Care,Non Ai,11946,11946,11946,11946,11946,11946,14916,17886,18780.3,45000,45000,45000,45000,45000,45000,41000,41000,37000
Victoria's Secret,Retailing,Non Ai,6785,6785,6785,6785,6785,6785,6785,6785,7124.25,24000,24000,24000,24000,24000,24000,24000,24000,24000
Visa,Business Services,Non Ai,12702,13880,15082,15082,20609,22977,23541,24105,25310.25,9500,11300,14200,,17000,19500,20500,22375,26500
Visteon,Motor Vehicles & Parts,Non Ai,12703,13881,15083,15083,20610,22978,23542,24106,25311.3,25500,11000,11000,11000,11000,11000,11000,11000,11000
Vistra,Energy,Non Ai,11809,11809,11809,11809,11809,11809,11943,12077,12680.85,5475,5475,5475,5475,5475,5475,5267.5,5192.5,4910
Vistra Energy,Energy,Non Ai,5164,5164,5164,5164,9144,9144,9144,9144,9601.2,4431,4431,4431,,5275,5275,5275,5275,5275
VMware,Technology,Ai,13350,13350,13350,13350,13350,13350,13350,13350,13350,38300,38300,39066,40198,41001,41616,41948,42409,42621
Voya Financial,Financials,Non Ai,11071,11341,10782,9660,8934,8942,9037.5,9133,9589.65,6500,7000,6700,6300,6000,6000,5985,5985,5970
Vulcan Materials,Materials,Non Ai,11072,11342,10783,9661,8935,8943,9038.5,9134,9590.7,11974,11974,11974,11974,11974,11974,11974,11974,11974
W.R. Berkley,Financials,Non Ai,7129,7207,7654,7685,7692,7902,8679,9456,9928.8,7521,7621,,7722,7448,7493,7587,7828.25,8186
W.W. Grainger,Wholesalers,Non Ai,9965,9973,10137,10425,11221,11486,12254,13022,13673.1,22950,25100,,25050,23850,24550,24000,24350,24500
Waabi,Robotics/Autonomy,Ai,0,0,0,0,0,0,4.2,4.62,5.08,0,0,0,0,0,0,0,0,0
Walgreens,Food & Drug Stores,Non Ai,76392,76392,76392,76392,76392,76392,76392,76392,80211.6,213000,213000,213000,213000,213000,213000,213000,213000,213000
Walgreens Boots Alliance,Food & Drug Stores,Non Ai,103444,103444,117351,118214,131537,136866,142722.5,148579,156007.95,302500,302500,300000,290000,299000,287000,272750,277750,262500
Walmart,Retailing,Non Ai,485651,482130,485873,500343,514405,523964,548359,572754,601391.7,2200000,2300000,2300000,2300000,2200000,2200000,2250000,2150000,2100000
Walt Disney,Media,Non Ai,48813,48813,48813,48813,59434,69570,68494,67418,70788.9,,,180000,180000,201000,223000,197000,203900,195800
Warner Bros. Discovery,Media,Non Ai,11144,11144,11144,11144,11144,11144,11667.5,12191,12800.55,9200,9200,9200,9200,9200,9200,10100,23350,37500
Waste Management,Business Services,Non Ai,13996,12961,13609,13609,13609,15455,15336.5,15218,15978.9,39800,40600,41200,42300,43700,44900,46700,46900,49500
Watsco,Wholesalers,Non Ai,7274,7274,7274,7274,7274,7274,7274,7274,7637.7,7238,7238,7238,7238,7238,7238,7238,7238,7238
Wayfair,Retailing,Ai,9127,9303.63,9515.58,9762.86,10045.47,10363.4,10857.96,11476.16,12218,16985,16985,17324,17826,18182,18454,18601,18805,18899
Wayfair,Technology,Ai,6779,6779,6779,6779,6779,6779,6779,6779,6779,12124,12124,12366,12724,12978,13172,13277,13423,13490
Weaviate,AI Software/Tools,Ai,0,0,0,0,2.27,2.49,2.74,3.01,3.31,0,0,0,0,0,0,0,0,0
WEC Energy Group,Energy,Non Ai,5926,5926,7472,7649,7680,7523,7919.5,8316,8731.8,8211,,8074,8129,7878,7509,7223.5,7357.75,7022
WellCare Health Plans,Health Care,Non Ai,12960,13890,14237,17007,20414,20414,20414,20414,21434.7,6700,6900,7400,8900,12000,12000,12000,12000,12000
Wells Fargo,Financials,Non Ai,88372,90033,94176,97741,101060,103915,93161,82407,86527.35,264500,264700,269100,262700,258700,259800,253824,248625,238000
WESCO International,Wholesalers,Non Ai,7890,7519,7336,7679,8177,8359,13288.5,18218,19128.9,9400,9300,9000,9100,9100,9500,13750,14650,20000
Western & Southern Financial,Financials,Non Ai,5836,5836,5836,5836,5836,5836,5836,5836,6127.8,2226,2226,2226,2226,2226,2226,2226,2226,2226
